        Res  : IGHV1-3*01          IGHD2-21*01         IGHJ4*01            

S43     Pred : IGHV3-64D*06        IGHD3-16*02         IGHJ4*03            
        Res  : IGHV3-64D*06        IGHD3-16*02         IGHJ4*03            

S44     Pred : IGHV1-8*02          No genes            IGHJ6*04            
        Res  : IGHV1-8*02          IGHD5-18*01         IGHJ6*04            

S45     Pred : IGHV1-46*01         IGHD4-4*01          IGHJ4*01            
        Res  : IGHV1-46*01         IGHD4-11*01         IGHJ4*01            

S46     Pred : IGHV3-7*02          No genes            IGHJ6*02            
        Res  : IGHV3-7*02          IGHD1-14*01         IGHJ6*02            

S47     Pred : IGHV3-64D*06        IGHD3/OR15-3a*01    IGHJ2*01            
        Res  : IGHV3-64D*06        IGHD7-27*01         IGHJ2*01            

S48     Pred : IGHV4-30-2*05       IGHD3-9*01          IGHJ5*02            
        Res  : IGHV4-30-2*05       IGHD4-17*01         IGHJ5*02            

S49     Pred : IGHV4-30-2*02       IGHD2-21*02         IGHJ6*01            
        Res  : IGHV4-30-2*05       IGHD2-21*02         IGHJ6*01            

S50     Pred : IGHV5-10-1*03       IGHD2-8*02          IGHJ6*03            
        Res  : IGHV5-10-1*03       IGHD2-8*02          IGHJ6*03            

S51     Pred : IGHV1/OR15-9*01     IGHD6-6*01          IGHJ5*02            
        Res  : IGHV1/OR15-9*01     IGHD6-13*01         IGHJ5*02            

S52     Pred : IGHV7-81*01         No genes            IGHJ5*01            
        Res  : IGHV7-81*01         IGHD1-7*01          IGHJ5*01            

S53     Pred : IGHV3/OR16-8*01     IGHD1-26*01         IGHJ4*03            
        Res  : IGHV3/OR16-8*02     IGHD1-26*01         IGHJ4*03            

S54     Pred : IGHV7-81*01         IGHD3-3*02          IGHJ1*01            
        Res  : IGHV7-81*01         IGHD3-3*02          IGHJ1*01            

S55     Pred : IGHV1-69*04         IGHD1-26*01         IGHJ2*01            
        Res  : IGHV1-69*04         IGHD6-6*01          IGHJ2*01            

S56     Pred : IGHV3-30-3*02       IGHD1/OR15-1a*01    IGHJ2*01            
        Res  : IGHV3-30-3*02       IGHD6-25*01         IGHJ2*01            

S57     Pred : IGHV3-64*01         No genes            IGHJ2*01            
        Res  : IGHV3-64*01         IGHD4-17*01         IGHJ2*01            

S58     Pred : IGHV1/OR21-1*01     IGHD6-13*01         IGHJ2*01            
        Res  : IGHV1/OR21-1*01     IGHD1-7*01          IGHJ2*01            

S59     Pred : IGHV4-61*01         IGHD1-20*01         IGHJ2*01            
        Res  : IGHV4-61*01         IGHD1-20*01         IGHJ2*01            

S60     Pred : IGHV3-33*06         IGHD4/OR15-4a*01    IGHJ1*01            
        Res  : IGHV3-33*01         IGHD4/OR15-4a*01    IGHJ1*01            

S61     Pred : IGHV3-30*14         IGHD5-18*01         IGHJ1*01            
        Res  : IGHV3-30-3*03       IGHD5-18*01         IGHJ1*01            

S62     Pred : IGHV3-73*01         IGHD4-4*01          IGHJ4*01            
        Res  : IGHV3-73*01         IGHD4-11*01         IGHJ4*01            

S63     Pred : IGHV4-38-2*01       IGHD3-3*01          IGHJ6*03            
        Res  : IGHV4-38-2*01       IGHD3-3*01          IGHJ6*03            

S64     Pred : IGHV1-45*02         IGHD2-8*01          IGHJ2*01            
        Res  : IGHV1-45*02         IGHD5/OR15-5a*01    IGHJ2*01            

S65     Pred : IGHV3-9*03          No genes            IGHJ3*02            
        Res  : IGHV3-9*03          IGHD1-20*01         IGHJ3*01            

S66     Pred : IGHV7-81*01         IGHD3-10*01         IGHJ1*01            
        Res  : IGHV7-81*01         IGHD2-21*02         IGHJ1*01            

S67     Pred : IGHV6-1*02          IGHD2-15*01         IGHJ6*03            
        Res  : IGHV6-1*02          IGHD2-15*01         IGHJ6*03            

S68     Pred : IGHV3-66*03         IGHD3/OR15-3a*01    IGHJ5*01            
        Res  : IGHV3-66*03         IGHD3/OR15-3a*01    IGHJ5*01            

S69     Pred : IGHV3/OR16-10*02    IGHD3-3*01          IGHJ1*01            
        Res  : IGHV3/OR16-10*02    IGHD5/OR15-5a*01    IGHJ1*01            

S70     Pred : IGHV6-1*02          No genes            IGHJ5*01            
        Res  : IGHV6-1*02          IGHD1-14*01         IGHJ5*01            

S71     Pred : IGHV3/OR16-13*01    IGHD5-12*01         IGHJ3*02            
        Res  : IGHV3/OR16-13*01    IGHD5-12*01         IGHJ3*02            

S72     Pred : IGHV4-61*02         IGHD2-21*01         IGHJ3*02            
        Res  : IGHV4-61*02         IGHD3-22*01         IGHJ3*02            

S73     Pred : IGHV3/OR16-8*01     IGHD5-18*01         IGHJ4*01            
        Res  : IGHV3/OR16-8*01     IGHD5-18*01         IGHJ4*01            

S74     Pred : IGHV4-30-2*06       IGHD1/OR15-1b*01    IGHJ3*02            
        Res  : IGHV4-30-2*06       IGHD5-12*01         IGHJ3*02            

